altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
687,32.0,2019-05-25,24,00,13:54,13:40,04:45,5514,GRANADA BASE AÉREA,"0,0","938,8","934,6",GRANADA,"10,8","11,9","26,9","18,5","10,1","4,7"
687,32.0,2019-05-26,07,18,13:04,15:27,04:49,5514,GRANADA BASE AÉREA,"0,0","938,9","935,1",GRANADA,"9,7","13,7","28,3","19,1","9,9","3,1"
687,27.0,2019-05-27,00,18,12:56,15:30,05:20,5514,GRANADA BASE AÉREA,"0,0","936,8","932,7",GRANADA,"9,7","13,3","31,0","20,6","10,2","3,9"
687,29.0,2019-05-28,24,18,15:18,05:40,05:50,5514,GRANADA BASE AÉREA,"0,0","936,1","933,5",GRANADA,"10,0","13,6","32,6","24,0","15,5","3,1"
687,19.0,2019-05-29,24,00,14:36,14:10,04:50,5514,GRANADA BASE AÉREA,"0,0","942,0","936,1",GRANADA,"9,7","13,7","30,5","22,8","15,2","3,6"
687,19.0,2019-05-30,23,18,17:02,15:10,04:20,5514,GRANADA BASE AÉREA,"0,0","943,8","941,0",GRANADA,"11,9","13,4","27,5","19,4","11,2","6,1"
687,20.0,2019-05-31,00,18,16:29,14:40,05:10,5514,GRANADA BASE AÉREA,"0,0","943,7","939,8",GRANADA,"11,1","13,6","30,4","20,3","10,2","4,4"
687,19.0,2019-06-01,00,18,15:49,14:30,05:10,5514,GRANADA BASE AÉREA,"0,0","941,9","938,7",GRANADA,"11,1","13,6","29,6","19,9","10,2","4,7"
687,19.0,2019-06-02,00,18,17:54,14:50,04:20,5514,GRANADA BASE AÉREA,"0,0","941,0","937,7",GRANADA,"11,1","13,7","32,0","20,9","9,8","4,7"
687,18.0,2019-06-03,00,18,14:47,11:56,04:30,5514,GRANADA BASE AÉREA,"0,0","940,3","936,8",GRANADA,"11,7","12,0","32,8","22,7","12,6","5,3"
687,29.0,2019-06-04,00,18,14:48,14:40,05:20,5514,GRANADA BASE AÉREA,"0,0","937,4","932,0",GRANADA,"10,3","13,3","32,2","22,0","11,8","3,3"
687,33.0,2019-06-05,23,00,11:07,14:00,23:20,5514,GRANADA BASE AÉREA,"0,0","936,2","933,6",GRANADA,"10,3","10,8","23,0","17,7","12,4","5,3"
687,22.0,2019-06-06,00,18,15:58,15:20,03:50,5514,GRANADA BASE AÉREA,"0,0","936,0","931,8",GRANADA,"11,4","13,7","28,0","18,2","8,4","4,2"
687,32.0,2019-06-07,23,00,13:32,15:24,04:45,5514,GRANADA BASE AÉREA,"0,0","939,9","934,6",GRANADA,"8,9","13,7","27,3","18,4","9,5","2,8"
687,19.0,2019-06-08,24,18,15:46,14:15,04:50,5514,GRANADA BASE AÉREA,"0,0","939,8","937,3",GRANADA,"10,3","13,3","29,2","19,8","10,5","5,0"
687,30.0,2019-06-09,00,18,16:32,14:10,02:50,5514,GRANADA BASE AÉREA,"0,0","939,8","937,0",GRANADA,"9,4","9,9","27,8","22,1","16,4","3,3"
687,29.0,2019-06-10,00,18,15:11,15:20,04:20,5514,GRANADA BASE AÉREA,"0,0","938,9","934,4",GRANADA,"9,7","13,7","27,0","19,2","11,4","4,2"
687,32.0,2019-06-11,00,16,16:12,14:05,05:30,5514,GRANADA BASE AÉREA,"0,0","935,8","931,0",GRANADA,"10,6","13,6","27,6","19,2","10,8","3,6"
687,22.0,2019-06-12,08,18,14:00,16:30,03:20,5514,GRANADA BASE AÉREA,Ip,"934,2","931,3",GRANADA,"9,2","13,7","27,7","20,0","12,4","3,6"
687,35.0,2019-06-13,24,18,14:32,15:20,04:50,5514,GRANADA BASE AÉREA,"0,0","934,1","930,0",GRANADA,"8,3","11,5","29,2","20,8","12,5","3,3"
687,31.0,2019-06-14,24,04,12:54,12:10,04:50,5514,GRANADA BASE AÉREA,"0,0","939,4","933,9",GRANADA,"9,7","12,8","26,2","20,4","14,6","5,0"
687,32.0,2019-06-15,09,18,13:55,14:46,05:20,5514,GRANADA BASE AÉREA,"0,0","940,0","937,4",GRANADA,"7,8","14,1","29,8","19,2","8,6","3,1"
687,20.0,2019-06-16,24,Varias,12:50,15:42,04:10,5514,GRANADA BASE AÉREA,"0,0","940,2","938,0",GRANADA,"8,9","9,0","29,4","20,6","11,8","5,0"
687,17.0,2019-06-17,00,18,14:47,13:50,05:08,5514,GRANADA BASE AÉREA,"0,0","940,2","936,2",GRANADA,"11,7","13,7","30,8","20,8","10,8","4,7"
687,23.0,2019-06-18,24,18,16:13,15:30,04:05,5514,GRANADA BASE AÉREA,"0,0","938,0","935,9",GRANADA,"10,0","13,6","32,4","22,4","12,4","3,9"
687,32.0,2019-06-19,00,18,15:28,14:45,04:50,5514,GRANADA BASE AÉREA,"0,0","938,0","935,4",GRANADA,"8,3","14,2","31,3","22,2","13,0","3,1"
687,28.0,2019-06-20,01,18,14:55,13:49,04:15,5514,GRANADA BASE AÉREA,"0,0","936,8","934,2",GRANADA,"9,4","13,7","30,0","21,6","13,1","3,6"
687,29.0,2019-06-21,09,17,18:07,16:10,04:47,5514,GRANADA BASE AÉREA,"0,0","937,3","934,9",GRANADA,"8,6","13,6","31,0","21,7","12,4","2,8"
687,20.0,2019-06-22,07,18,13:19,14:16,04:30,5514,GRANADA BASE AÉREA,"0,0","937,7","934,3",GRANADA,"9,7","14,1","31,5","22,4","13,4","4,7"
687,20.0,2019-06-23,07,18,14:43,15:30,04:50,5514,GRANADA BASE AÉREA,"0,0","936,3","932,8",GRANADA,"8,6","13,5","33,5","24,5","15,5","4,4"
687,31.0,2019-06-24,24,18,15:23,15:30,04:14,5514,GRANADA BASE AÉREA,"0,0","937,0","934,5",GRANADA,"8,1","13,7","33,0","24,5","16,0","3,3"
687,19.0,2019-06-25,07,18,15:49,15:10,05:20,5514,GRANADA BASE AÉREA,"0,0","937,8","935,0",GRANADA,"11,9","14,1","35,0","25,8","16,5","4,7"
687,20.0,2019-06-26,Varias,18,17:40,14:40,05:50,5514,GRANADA BASE AÉREA,"0,0","938,8","935,8",GRANADA,"10,8","13,0","34,6","25,7","16,8","3,9"
687,20.0,2019-06-27,08,18,14:35,14:10,05:20,5514,GRANADA BASE AÉREA,"0,0","939,1","935,6",GRANADA,"12,2","11,8","36,6","27,1","17,6","4,7"
687,17.0,2019-06-28,00,18,14:36,13:30,05:10,5514,GRANADA BASE AÉREA,"0,0","938,8","934,0",GRANADA,"15,0","12,8","40,0","29,1","18,2","3,6"
