altitud,dir,fecha,horaPresMax,horaPresMin,horaracha,horatmax,horatmin,indicativo,nombre,prec,presMax,presMin,provincia,racha,sol,tmax,tmed,tmin,velmedia
567,99.0,2018-01-02,Varias,16,Varias,14:57,06:13,5530E,GRANADA AEROPUERTO,"0,0","968,2","964,8",GRANADA,"5,8","9,1","15,6","7,0","-1,7","1,4"
567,27.0,2018-01-03,Varias,15,17:23,14:40,07:20,5530E,GRANADA AEROPUERTO,"0,0","968,0","963,9",GRANADA,"5,0","9,1","16,8","8,5","0,2","0,8"
567,25.0,2018-01-04,Varias,24,17:16,16:34,03:28,5530E,GRANADA AEROPUERTO,"0,0","964,6","958,0",GRANADA,"5,8","3,7","15,0","8,7","2,4","1,1"
567,28.0,2018-01-05,00,24,14:38,14:19,21:09,5530E,GRANADA AEROPUERTO,"3,8","958,0","941,0",GRANADA,"7,2","3,2","14,3","9,4","4,6","1,4"
567,26.0,2018-01-06,00,09,10:29,05:08,12:09,5530E,GRANADA AEROPUERTO,"9,1","941,0","930,9",GRANADA,"13,3","0,1","10,3","5,9","1,5","2,5"
567,99.0,2018-01-07,Varias,06,Varias,13:13,07:51,5530E,GRANADA AEROPUERTO,"0,4","940,5","934,8",GRANADA,"6,7","4,3","7,0","2,8","-1,3","0,6"
567,99.0,2018-01-08,Varias,01,Varias,14:47,23:59,5530E,GRANADA AEROPUERTO,"0,6","949,6","940,1",GRANADA,"4,7","1,8","8,8","4,8","0,9","0,8"
567,99.0,2018-01-09,Varias,00,Varias,23:09,01:35,5530E,GRANADA AEROPUERTO,"3,1","955,7","949,6",GRANADA,"8,9","0,1","9,8","5,1","0,4","0,0"
567,27.0,2018-01-10,Varias,03,21:48,15:45,00:16,5530E,GRANADA AEROPUERTO,"0,1","958,2","951,0",GRANADA,"11,4","1,9","12,7","10,4","8,1","3,3"
567,29.0,2018-01-11,Varias,15,14:33,14:05,23:30,5530E,GRANADA AEROPUERTO,"0,0","960,8","957,3",GRANADA,"10,3","1,7","11,6","6,5","1,4","2,5"
567,17.0,2018-01-12,Varias,24,18:15,15:44,07:22,5530E,GRANADA AEROPUERTO,"0,0","960,5","956,3",GRANADA,"3,6","8,5","13,2","5,3","-2,6","0,8"
567,99.0,2018-01-13,00,14,13:27,13:42,05:30,5530E,GRANADA AEROPUERTO,"0,0","956,3","952,3",GRANADA,"6,1","1,1","10,8","5,0","-0,9","0,3"
567,29.0,2018-01-14,00,15,13:53,13:11,03:58,5530E,GRANADA AEROPUERTO,"4,7","955,1","950,6",GRANADA,"6,1","0,2","7,6","4,1","0,6","0,3"
567,99.0,2018-01-15,Varias,04,Varias,15:08,07:37,5530E,GRANADA AEROPUERTO,"0,0","963,5","953,8",GRANADA,"5,8","8,9","12,0","5,6","-0,8","0,3"
567,17.0,2018-01-16,Varias,17,18:18,16:51,06:28,5530E,GRANADA AEROPUERTO,"0,0","964,7","959,7",GRANADA,"4,7","9,3","14,2","5,8","-2,5","0,8"
567,18.0,2018-01-17,00,15,21:03,16:08,07:29,5530E,GRANADA AEROPUERTO,"0,0","960,1","954,5",GRANADA,"4,2","9,3","18,0","8,0","-2,1","0,6"
567,99.0,2018-01-18,Varias,21,Varias,13:08,06:49,5530E,GRANADA AEROPUERTO,"0,0","956,8","952,2",GRANADA,"3,6","5,9","16,7","8,0","-0,6","0,3"
567,99.0,2018-01-19,Varias,05,Varias,15:48,23:49,5530E,GRANADA AEROPUERTO,"0,0","959,3","951,5",GRANADA,"5,0","4,8","16,0","9,3","2,6","1,1"
567,1.0,2018-01-20,Varias,02,11:22,15:20,07:24,5530E,GRANADA AEROPUERTO,"0,0","963,3","959,1",GRANADA,"13,3","8,9","17,6","8,2","-1,2","1,7"
567,3.0,2018-01-21,Varias,15,16:55,15:54,07:26,5530E,GRANADA AEROPUERTO,"0,0","963,5","960,1",GRANADA,"9,7","9,5","19,9","9,6","-0,8","1,9"
567,99.0,2018-01-22,Varias,15,Varias,15:24,07:00,5530E,GRANADA AEROPUERTO,"0,0","962,9","958,7",GRANADA,"5,8","9,5","20,0","10,4","0,7","0,8"
567,99.0,2018-01-23,Varias,14,Varias,15:05,07:37,5530E,GRANADA AEROPUERTO,"0,0","961,6","958,5",GRANADA,"4,2","9,5","21,1","10,5","-0,1","0,3"
567,99.0,2018-01-24,Varias,16,Varias,15:16,07:37,5530E,GRANADA AEROPUERTO,"0,0","961,8","957,6",GRANADA,"3,6","9,3","20,9","9,9","-1,1","0,6"
567,99.0,2018-01-25,00,17,Varias,15:11,05:39,5530E,GRANADA AEROPUERTO,"1,4","958,5","953,4",GRANADA,"8,9","5,0","13,9","7,4","0,9","2,8"
567,32.0,2018-01-26,Varias,00,03:23,14:43,23:59,5530E,GRANADA AEROPUERTO,"0,2","960,5","953,8",GRANADA,"11,4","8,5","10,7","6,0","1,4","4,7"
567,99.0,2018-01-27,Varias,14,Varias,14:58,04:53,5530E,GRANADA AEROPUERTO,"0,0","960,4","957,6",GRANADA,"11,4","5,7","10,4","4,7","-1,0","2,8"
567,3.0,2018-01-28,Varias,06,12:52,15:29,00:25,5530E,GRANADA AEROPUERTO,"0,0","962,1","957,4",GRANADA,"16,9","6,6","13,3","7,8","2,3","5,6"
567,3.0,2018-01-29,Varias,16,Varias,15:05,06:06,5530E,GRANADA AEROPUERTO,"0,0","963,1","959,5",GRANADA,"11,4","5,2","16,8","10,8","4,7","3,6"
567,6.0,2018-01-30,00,16,18:04,15:00,06:52,5530E,GRANADA AEROPUERTO,"0,0","961,4","956,0",GRANADA,"7,2","8,8","18,3","11,9","5,5","2,5"
567,99.0,2018-01-31,00,17,18:03,15:15,05:33,5530E,GRANADA AEROPUERTO,"0,0","957,5","950,9",GRANADA,"7,2","1,5","16,4","9,9","3,4","1,4"
567,27.0,2018-02-01,00,23,20:38,13:12,06:48,5530E,GRANADA AEROPUERTO,"1,0","951,5","940,6",GRANADA,"10,3","1,6","13,5","7,8","2,0","2,2"
567,3.0,2018-02-02,Varias,02,10:03,16:04,23:59,5530E,GRANADA AEROPUERTO,"0,0","952,4","939,6",GRANADA,"12,5","2,6","8,9","4,2","-0,6","1,1"
567,99.0,2018-02-03,Varias,16,Varias,15:11,06:53,5530E,GRANADA AEROPUERTO,"0,0","955,0","951,0",GRANADA,"7,2","9,8","12,1","3,8","-4,5","1,7"
567,27.0,2018-02-04,00,17,19:56,13:14,02:46,5530E,GRANADA AEROPUERTO,"3,9","951,2","940,1",GRANADA,"7,8","1,0","8,0","3,4","-1,2","1,4"
567,99.0,2018-02-05,Varias,15,Varias,11:30,Varias,5530E,GRANADA AEROPUERTO,"0,0","941,1","939,0",GRANADA,"8,9","3,0","8,3","5,0","1,8","2,2"
567,35.0,2018-02-06,Varias,04,16:04,13:17,02:59,5530E,GRANADA AEROPUERTO,"0,0","946,0","940,2",GRANADA,"11,4","5,8","10,0","4,6","-0,8","3,1"
567,3.0,2018-02-07,22,04,20:30,14:00,Varias,5530E,GRANADA AEROPUERTO,"0,0","949,2","945,5",GRANADA,"7,2","6,1","12,3","6,8","1,4","1,7"
567,2.0,2018-02-08,Varias,00,22:25,15:05,07:30,5530E,GRANADA AEROPUERTO,"0,0","953,2","949,1",GRANADA,"8,9","7,9","13,7","5,3","-3,1","0,6"
